OID_,Traffic_Station_Locations_OBJECTID,Traffic_Station_Locations_Signing,Traffic_Station_Locations_DOT_ID,Traffic_Station_Locations_CO,Traffic_Station_Locations_FG,Traffic_Station_Locations_Sample_ID,Traffic_Station_Locations_Bridge_ID,Traffic_Station_Locations_RR_Xing,Traffic_Station_Locations_NHS,Traffic_Station_Locations_Speed,Traffic_Station_Locations_Oneway,Traffic_Station_Locations_OLAP_Hier,Traffic_Station_Locations_Lanes,Traffic_Station_Locations_RC_STATION,Traffic_Station_Locations_RG,Traffic_Station_Locations_REGION_COD,Traffic_Station_Locations_COUNTY_COD,Traffic_Station_Locations_COU,Traffic_Station_Locations_CCST,Traffic_Station_Locations_GIS_ID,Traffic_Station_Locations_LOC_ERROR,Traffic_Station_Locations_RCSTA1,Traffic_Station_Locations_RC_Code,Traffic_Station_Locations_FIPS,Traffic_Station_Locations_Station_T1,Traffic_Station_Locations_GeoCode_T,Traffic_Station_Locations_Juris_T,Traffic_Station_Locations_GlobalID,Traffic_Station_Locations_Retired,Traffic_Station_Locations_R_Year,Traffic_Station_Locations_R_Notes,Traffic_Station_Locations_Shape_STLe,AADT_Stats_2023_Table_Description,AADT_Stats_2023_Table_County,AADT_Stats_2023_Table_Route,AADT_Stats_2023_Table_From_Milepoint,AADT_Stats_2023_Table_To_Milepoint,AADT_Stats_2023_Table_Functional_Class,AADT_Stats_2023_Table_Latitude,AADT_Stats_2023_Table_Longitude,AADT_Stats_2023_Table_Year,AADT_Stats_2023_Table_Stat_Type,AADT_Stats_2023_Table_AADT,AADT_Stats_2023_Table_AAWDT,AADT_Stats_2023_Table_Single_Unit_Truck_AADT,AADT_Stats_2023_Table_Combo_Unit_Truck_AADT,AADT_Stats_2023_Table_K_Factor,AADT_Stats_2023_Table_D_Factor,AADT_Stats_2023_Table_Station_Type,Shape_Length
6290,6729,3,100503,1,30,3008640,2257569, ,Y,35, , ,3:3|4:3|||,04_0020,11,0,4,61, ,100503011,NO ERROR,040020,04,061,20,2034,01,{6FFD5395-172C-4DCE-ABBE-02C296A114FD}, ,0, ,1255.413653809999914,NY9A from W 57TH ST to END W 72ND ST RAMP TO NY 9A,New york,NY9A,4.65,5.44,Urban:Principal Arterial - Freeways & Expressways,40.773547000000001,-73.992926999999995,2023,Estimated,106085,,1648,5,0.060000000000000,0.66,Short Term,1255.413644094605388
6292,6838, ,256709,1,30, , , ,Y,25, , ,1:1||||,04_1178,11,0,4,61, ,256709011,NO ERROR,041178,04,061,1178,2034,04,{A6266D0F-222A-4C96-B37C-FE9BA7D35F1F}, ,0, ,2397.927354250000008,F DOUGLASS BLVD from W 125TH ST to W 155TH ST,New york,F DOUGLASS BLVD,0.74,2.23,Urban:Principal Arterial - Other,40.818710000000003,-73.945070000000001,2023,Estimated,13183,,437,7,0.070000000000000,0.64,Short Term,2397.927359082232215
6293,6756, ,256734,1,30,3042870, , , ,25,Y, ,2:0||||,04_1003,11,0,4,61, ,256734011,NO ERROR,041003,04,061,1003,2034,04,{968FC8D9-C087-4188-9FFF-F1190EA08AB7}, ,0, ,450.617191112000000,HUDSON ST from CHRISTOPHER ST to 8TH AVE,New york,HUDSON ST,1.17,1.44,Urban:Minor Arterial,40.734091999999997,-74.006255999999993,2023,Estimated,11482,,520,22,0.060000000000000,1,Short Term,450.617169456159104
6294,6728,1,100236,4,30, ,5521889, ,Y,40, , , ,04_0019,11,0,4,61, ,100236042,NO ERROR,040019,04,061,19,2034,32,{2B6C3ADC-C128-4F81-B6AB-2A80F36D3770}, ,0, ,451.401562413000022,I-278 from TOLL BOOTHS to NY/Bronx Co Line,New york,ROBERT F. KENNE,1.36,1.64,Urban:Principal Arterial - Interstate,40.797325000000001,-73.920147000000000,2023,,,,,,,,Short Term,451.401559434344165
6296,6805, ,256578,1,30, , , ,Y,25, , ,1:1||||,04_1144,11,0,4,61, ,256578011,PARTIAL MATCH FOR THE TO-MEASURE,041144,04,061,1144,2034,04,{4778F422-FB52-4DDA-8B5A-8E2507D1CCCA}, ,0, ,816.146163072000036,CENTRAL PK S from COLUMBUS CIR to FIFTH AVE,New york,CENTRAL PK S,0,0.51,Urban:Principal Arterial - Other,40.764769999999999,-73.973920000000007,2023,Estimated,27532,,1861,216,0.060000000000000,0.57,Short Term,816.146163070406715
6298,6727,1,100236,4,30, ,5521889, ,Y,40, , , ,04_0019,11,0,4,61, ,100236041,NO ERROR,040019,04,061,19,2034,32,{E137D40C-C459-4E7A-9914-568634D3BE3A}, ,0, ,450.617203560000007,I-278 from TOLL BOOTHS to NY/Bronx Co Line,New york,ROBERT F. KENNE,1.36,1.64,Urban:Principal Arterial - Interstate,40.797325000000001,-73.920147000000000,2023,,,,,,,,Short Term,450.617177685747492
6299,6726,1,100236,4,30, ,5521889, ,Y,40, , , ,04_0018,11,0,4,61, ,100236041,NO ERROR,040018,04,061,18,2034,32,{4F49A512-AB1E-4C37-A475-9F99A024319D}, ,0, ,2188.712228179999784,I-278 from Queens/NY Co Line to TOLL BOOTHS,New york,ROBERT F. KENNE,0,1.36,Urban:Principal Arterial - Interstate,40.782088999999999,-73.928359000000000,2023,Actual,142884,,9049,2153,0.070000000000000,0.52,Short Term,2188.712265456322712
6301,6725,1,100236,4,30, ,5521889, ,Y,40, , , ,04_0018,11,0,4,61, ,100236042,NO ERROR,040018,04,061,18,2034,32,{7706FE4E-9682-405D-B631-108E9CC643AA}, ,0, ,2204.021329719999812,I-278 from Queens/NY Co Line to TOLL BOOTHS,New york,ROBERT F. KENNE,0,1.36,Urban:Principal Arterial - Interstate,40.782088999999999,-73.928359000000000,2023,Actual,142884,,9049,2153,0.070000000000000,0.52,Short Term,2204.021329723854251
6303,6828, ,256656,1,30, , , ,Y,25, , ,1:1||||,04_1168,11,0,4,61, ,256656011,NO ERROR,041168,04,061,1168,2034,04,{C449A41A-FBF9-4F63-8F1C-1B7F1AD271FD}, ,0, ,1223.103902110000035,E 42ND ST from FIFTH AVE to FDR DR,New york,E 42ND ST,0,0.77,Urban:Principal Arterial - Other,40.750320000000002,-73.973349999999996,2023,Estimated,19655,,1051,112,0.050000000000000,0.52,Short Term,1223.103877598829740
6305,6723,3,100503,1,30, , , ,Y,35, ,1,4:3||||,04_0017,11,0,4,61, ,100503011,NO ERROR,040017,04,061,17,2034,01,{CE1A16AE-A7A2-4735-B9BA-96CF610F49DD}, ,0, ,871.514721861999988,NY9A from W 30TH ST to WEST 41ST ST,New york,12TH AVE,3.27,3.83,Urban:Principal Arterial - Other,40.757309999999997,-74.004499999999993,2023,Estimated,68708,,4562,123,,,Short Term,871.514721860676332
